"student_id","school_id","grade","class","q1","q2","q3","q4","q5","q6","q7","q8","complete_survey"
"3fXdA@cunb.edu","499",7,"C","Much","Not at all","Somewhat","Strongly agree","Strongly disagree","Strongly agree","Neutral","Enroll in high school",1
"3RWwK@cunb.edu","426",8,"D","Much","Slightly","Somewhat","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Enroll in an university",1
"3SkiA@cunb.edu","141",6,"C","Slightly","Much","Somewhat","Strongly disagree","Agree","Neutral","Strongly disagree","Enroll in a  professional/vocational institute",1
"3wj1i@cunb.edu","262",7,"D","Slightly","Much","Very much","Strongly agree","Strongly disagree","Agree","Strongly disagree","Enroll in a  professional/vocational institute",1
"47Nsz@cunb.edu","458",7,"D","Very much","Much","Somewhat","Strongly disagree","Strongly agree","Disagree","Agree","Enroll in an university",1
"4a5ft@cunb.edu","057",8,"B","Much","Not at all","Not at all","Neutral","Strongly agree","Strongly agree","Strongly agree","Work after finishing school",1
"4DQCJ@cunb.edu","057",8,"D","Somewhat","Slightly","Much","Agree","Strongly disagree","Disagree","Agree","I don't know",1
"4I4iO@cunb.edu","458",7,"A","Slightly","Much","Not at all","Strongly agree","Strongly agree","Agree","Agree","Enroll in high school",1
"4JS7L@cunb.edu","057",6,"A","Slightly","Slightly","Very much","Neutral","Neutral","Neutral","Neutral","Enroll in high school",1
"4PCZq@cunb.edu","946",8,"A","Slightly","Much","Somewhat","Strongly agree","Agree","Agree","Strongly agree","Enroll in a  professional/vocational institute",1
"4psQs@cunb.edu","812",6,"B","Slightly","Slightly","Much","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","I don't know",1
"4qXYH@cunb.edu","141",8,"D","Much","Somewhat","Somewhat","Strongly disagree","Neutral","Strongly disagree","Agree","I don't know",1
"4REO0@cunb.edu","946",8,"A","Somewhat","Somewhat","Much","Neutral","Strongly disagree","Neutral","Strongly agree","Enroll in an university",1
"4S89F@cunb.edu","262",8,"C","Slightly","Slightly","Slightly","Strongly agree","Agree","Strongly agree","Neutral","Enroll in an university",1
"4SS4z@cunb.edu","946",8,"B","Not at all","Not at all","Not at all","Disagree","Agree","Disagree","Strongly agree","Enroll in an university",1
"4tUgB@cunb.edu","499",7,"B","Somewhat","Not at all","Slightly","Neutral","Strongly agree","Neutral","Neutral","Enroll in high school",1
"4W5aE@cunb.edu","881",8,"D","Slightly","Very much","Much","Strongly disagree","Disagree","Disagree","Strongly agree","Enroll in high school",1
"4WNIt@cunb.edu","946",7,"A","Much","Very much","Slightly","Strongly disagree","Neutral","Agree","Strongly agree","Work after finishing school",1
"51HIl@cunb.edu","262",6,"C","Somewhat","Very much","Very much","Disagree","Agree","Neutral","Agree","Enroll in high school",1
"5KxOK@cunb.edu","499",7,"D","Much","Somewhat","Very much","Strongly disagree","Neutral","Agree","Strongly disagree","Enroll in a  professional/vocational institute",1
"5NU6P@cunb.edu","426",8,"D","Very much","Much","Somewhat","Disagree","Strongly agree","Strongly disagree","Agree","Enroll in a  professional/vocational institute",1
"5OkwL@cunb.edu","426",6,"B","Somewhat","Somewhat","Slightly","Strongly agree","Neutral","Disagree","Strongly agree","I don't know",1
"5qXjJ@cunb.edu","499",7,"D","Somewhat","Slightly","Not at all","Agree","Agree","Strongly agree","Agree","Work after finishing school",1
"5SarD@cunb.edu","262",6,"D","Very much","Much","Slightly","Agree","Disagree","Strongly disagree","Neutral","Enroll in an university",1
"5Vm3W@cunb.edu","060",7,"B","Somewhat","Not at all","Not at all","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Enroll in an university",1
"5xeOF@cunb.edu","141",8,"C","Much","Not at all","Somewhat","Strongly disagree","Neutral","Strongly agree","Disagree","Enroll in an university",1
"6cnUg@cunb.edu","812",8,"B","Not at all","Somewhat","Much","Neutral","Agree","Disagree","Neutral","I don't know",1
"6i5ik@cunb.edu","946",8,"A","Slightly","Somewhat","Very much","Strongly agree","Neutral","Neutral","Disagree","Enroll in a technical institute",1
"6pDL7@cunb.edu","458",7,"B","Not at all","Much","Slightly","Disagree","Strongly disagree","Neutral","Neutral","I don't know",1
"6vIob@cunb.edu","060",8,"C","Somewhat","Slightly","Somewhat","Agree","Neutral","Neutral","Neutral","Enroll in a technical institute",1
"6ZaxY@cunb.edu","060",7,"C","Not at all","Somewhat","Slightly","Neutral","Neutral","Strongly disagree","Agree","Enroll in a  professional/vocational institute",1
"791ty@cunb.edu","060",8,"D","Slightly","Much","Not at all","Neutral","Disagree","Strongly disagree","Agree","Work after finishing school",1
"7AmFD@cunb.edu","426",7,"C","Much","Slightly","Not at all","Neutral","Strongly disagree","Agree","Strongly agree","Enroll in high school",1
"7Gi7W@cunb.edu","057",8,"D","Not at all","Much","Much","Disagree","Strongly agree","Disagree","Strongly agree","Enroll in a  professional/vocational institute",1
"7mIjE@cunb.edu","499",8,"C","Somewhat","Slightly","Very much","Disagree","Strongly disagree","Neutral","Strongly disagree","Enroll in high school",1
"7N7rZ@cunb.edu","262",8,"D","Slightly","Somewhat","Not at all","Disagree","Neutral","Strongly agree","Agree","Enroll in an university",1
"7VlRd@cunb.edu","946",8,"B","Very much","Slightly","Slightly","Disagree","Neutral","Disagree","Strongly disagree","Enroll in a technical institute",1
"7YOBi@cunb.edu","057",7,"A","Much","Slightly","Much","Agree","Neutral","Agree","Disagree","Enroll in a  professional/vocational institute",1
"81pas@cunb.edu","057",7,"A","Very much","Slightly","Not at all","Strongly agree","Disagree","Strongly agree","Neutral","Enroll in an university",1
"84TJh@cunb.edu","946",6,"A","Slightly","Very much","Not at all","Disagree","Neutral","Strongly agree","Agree","Enroll in an university",1
"86G8i@cunb.edu","262",6,"D","Somewhat","Much","Much","Agree","Agree","Disagree","Agree","Enroll in an university",1
"87sjM@cunb.edu","499",8,"B","Very much","Very much","Slightly","Agree","Agree","Strongly disagree","Strongly agree","I don't know",1
"88a7F@cunb.edu","499",7,"C","Slightly","Not at all","Very much","Strongly agree","Disagree","Disagree","Strongly agree","Enroll in a  professional/vocational institute",1
"8gRtx@cunb.edu","262",6,"B","Much","Not at all","Much","Agree","Neutral","Neutral","Strongly disagree","I don't know",1
"8NQ7I@cunb.edu","426",7,"A","Not at all","Slightly","Much","Disagree","Agree","Strongly disagree","Disagree","Enroll in high school",1
"8tTwX@cunb.edu","946",6,"B","Very much","Very much","Much","Strongly disagree","Neutral","Neutral","Disagree","I don't know",1
"8VMWt@cunb.edu","946",6,"A","Much","Not at all","Not at all","Strongly agree","Agree","Strongly agree","Disagree","Enroll in a technical institute",1
"9ALUk@cunb.edu","499",8,"A","Very much","Somewhat","Not at all","Neutral","Agree","Strongly agree","Disagree","Enroll in a technical institute",1
"9cDuB@cunb.edu","262",8,"A","Much","Somewhat","Much","Strongly disagree","Strongly agree","Strongly agree","Neutral","Enroll in a  professional/vocational institute",1
"9shph@cunb.edu","262",6,"D","Somewhat","Much","Somewhat","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","I don't know",1
"9zhxN@cunb.edu","426",7,"A","Very much","Somewhat","Very much","Agree","Agree","Strongly disagree","Neutral","Work after finishing school",1
"A28n9@cunb.edu","946",8,"C","Slightly","Much","Very much","Neutral","Agree","Disagree","Disagree","Enroll in a technical institute",1
"a3o6h@cunb.edu","262",8,"B","Somewhat","Not at all","Not at all","Agree","Strongly disagree","Strongly disagree","Strongly agree","Enroll in a technical institute",1
"A9jHQ@cunb.edu","060",8,"A","Slightly","Very much","Very much","Strongly agree","Strongly agree","Disagree","Neutral","Enroll in a technical institute",1
"ACJJG@cunb.edu","458",7,"B","Not at all","Slightly","Much","Disagree","Strongly agree","Strongly disagree","Disagree","Enroll in a technical institute",1
"AcWAh@cunb.edu","426",6,"A","Not at all","Not at all","Very much","Strongly agree","Agree","Strongly agree","Agree","Enroll in high school",1
"AdgKa@cunb.edu","057",6,"B","Slightly","Not at all","Much","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Enroll in high school",1
"AgNXI@cunb.edu","499",8,"D","Very much","Slightly","Slightly","Strongly agree","Disagree","Neutral","Strongly disagree","Work after finishing school",1
"AHimW@cunb.edu","262",8,"B","Somewhat","Not at all","Very much","Strongly agree","Disagree","Disagree","Disagree","Enroll in a technical institute",1
"AHshX@cunb.edu","262",8,"A","Somewhat","Not at all","Slightly","Strongly disagree","Strongly agree","Neutral","Strongly agree","Enroll in an university",1
"ahvov@cunb.edu","881",7,"D","Very much","Not at all","Much","Disagree","Strongly disagree","Agree","Neutral","Enroll in a  professional/vocational institute",1
"aHyvt@cunb.edu","141",8,"D","Very much","Somewhat","Very much","Strongly disagree","Agree","Neutral","Agree","Enroll in a  professional/vocational institute",1
"AoEdH@cunb.edu","262",7,"C","Not at all","Much","Slightly","Disagree","Neutral","Strongly disagree","Strongly disagree","I don't know",1
"aqRNG@cunb.edu","458",8,"C","Very much","Much","Somewhat","Agree","Agree","Strongly agree","Strongly agree","Enroll in a  professional/vocational institute",1
"ars86@cunb.edu","946",8,"B","Very much","Slightly","Slightly","Agree","Disagree","Strongly disagree","Strongly disagree","Work after finishing school",1
"ARw8M@cunb.edu","499",7,"C","Somewhat","Very much","Very much","Agree","Neutral","Strongly agree","Agree","Enroll in a technical institute",1
"AuSas@cunb.edu","426",6,"D","Much","Not at all","Somewhat","Agree","Strongly disagree","Disagree","Neutral","Enroll in a technical institute",1
"av8XL@cunb.edu","060",7,"B","Very much","Very much","Much","Disagree","Strongly agree","Strongly agree","Strongly disagree","I don't know",1
"AVsto@cunb.edu","060",7,"A","Somewhat","Much","Slightly","Strongly disagree","Agree","Strongly agree","Neutral","Enroll in high school",1
"AYYcQ@cunb.edu","881",6,"C","Somewhat","Very much","Somewhat","Agree","Agree","Strongly disagree","Disagree","Enroll in an university",1
"azdI3@cunb.edu","060",6,"C","Somewhat","Very much","Not at all","Strongly agree","Neutral","Disagree","Strongly agree","Enroll in an university",1
"b0a84@cunb.edu","812",8,"A","Somewhat","Very much","Not at all","Strongly agree","Agree","Strongly agree","Strongly disagree","Enroll in a technical institute",1
"b25qn@cunb.edu","881",8,"A","Very much","Not at all","Somewhat","Disagree","Strongly agree","Strongly agree","Strongly agree","Enroll in a technical institute",1
"B8Cnb@cunb.edu","946",7,"A","Somewhat","Very much","Slightly","Strongly agree","Strongly agree","Agree","Agree","Enroll in a  professional/vocational institute",1
"b9I0y@cunb.edu","812",6,"C","Very much","Not at all","Not at all","Neutral","Strongly disagree","Disagree","Disagree","Enroll in high school",1
"BBAak@cunb.edu","458",7,"D","Slightly","Very much","Somewhat","Strongly agree","Disagree","Strongly agree","Disagree","Enroll in a technical institute",1
"bclnd@cunb.edu","812",8,"B","Not at all","Slightly","Slightly","Strongly agree","Strongly disagree","Strongly agree","Neutral","Work after finishing school",1
"BGOjz@cunb.edu","426",7,"B","Much","Slightly","Slightly","Agree","Strongly disagree","Agree","Neutral","Work after finishing school",1
"BHKr9@cunb.edu","262",8,"A","Much","Very much","Somewhat","Disagree","Neutral","Disagree","Disagree","I don't know",1
"BI2wB@cunb.edu","057",8,"C","Not at all","Slightly","Very much","Strongly disagree","Agree","Neutral","Disagree","I don't know",1
"BI9BP@cunb.edu","881",6,"B","Somewhat","Slightly","Much","Strongly disagree","Disagree","Disagree","Disagree","Enroll in high school",1
"biq8t@cunb.edu","141",7,"D","Much","Somewhat","Much","Strongly disagree","Neutral","Neutral","Strongly disagree","Work after finishing school",1
"bsmjY@cunb.edu","812",7,"D","Slightly","Somewhat","Not at all","Neutral","Disagree","Neutral","Strongly disagree","Enroll in an university",1
"bsOrp@cunb.edu","946",6,"A","Much","Somewhat","Much","Agree","Disagree","Strongly disagree","Neutral","Work after finishing school",1
"Bwtyl@cunb.edu","057",8,"B","Slightly","Slightly","Very much","Neutral","Strongly disagree","Strongly agree","Agree","Enroll in a  professional/vocational institute",1
"Bwtyl@cunb.edu","057",8,"B","Slightly","Slightly","Very much","Neutral","Strongly disagree","Strongly agree","Agree","Enroll in a  professional/vocational institute",1
"BXZaK@cunb.edu","262",8,"A","Very much","Somewhat","Very much","Disagree","Strongly agree","Disagree","Disagree","Enroll in high school",1
"CbAUu@cunb.edu","057",6,"B","Much","Not at all","Not at all","Neutral","Strongly disagree","Agree","Strongly disagree","Enroll in an university",1
"CkLrC@cunb.edu","141",8,"B","Much","Much","Much","Strongly disagree","Neutral","Disagree","Agree","I don't know",1
"clHoL@cunb.edu","262",8,"D","Very much","Slightly","Not at all","Neutral","Agree","Neutral","Strongly disagree","Enroll in high school",1
"cM7Tj@cunb.edu","458",7,"A","Somewhat","Somewhat","Slightly","Neutral","Disagree","Agree","Neutral","I don't know",1
"cMV1s@cunb.edu","057",6,"B","Very much","Not at all","Much","Agree","Neutral","Strongly disagree","Strongly disagree","I don't know",1
"cOGbY@cunb.edu","499",8,"A","Somewhat","Somewhat","Not at all","Neutral","Disagree","Strongly disagree","Strongly agree","Enroll in an university",1
"cPNPZ@cunb.edu","946",6,"D","Much","Much","Slightly","Strongly disagree","Strongly agree","Strongly agree","Neutral","Enroll in a  professional/vocational institute",1
"CQS6S@cunb.edu","458",8,"C","Very much","Somewhat","Very much","Neutral","Agree","Strongly agree","Agree","I don't know",1
"CrSbx@cunb.edu","946",7,"A","Slightly","Much","Much","Neutral","Neutral","Strongly agree","Agree","Enroll in an university",1
"csfSA@cunb.edu","060",6,"C","Much","Slightly","Slightly","Agree","Neutral","Neutral","Strongly disagree","Enroll in a  professional/vocational institute",1
"cSK8W@cunb.edu","141",7,"B","Very much","Somewhat","Not at all","Agree","Agree","Disagree","Disagree","Enroll in an university",1
"CTX37@cunb.edu","262",8,"B","Very much","Much","Much","Neutral","Strongly disagree","Disagree","Strongly disagree","Work after finishing school",1
"cVwit@cunb.edu","426",7,"D","Very much","Very much","Much","Strongly disagree","Disagree","Agree","Agree","Enroll in a technical institute",1
"CXOMc@cunb.edu","946",6,"C","Very much","Very much","Not at all","Strongly disagree","Disagree","Neutral","Agree","Work after finishing school",1
"CYKHF@cunb.edu","499",7,"C","Very much","Very much","Somewhat","Agree","Disagree","Strongly disagree","Strongly agree","Enroll in high school",1
"d0S1w@cunb.edu","141",6,"A","Much","Not at all","Slightly","Strongly agree","Neutral","Strongly disagree","Agree","Enroll in an university",1
"d3uhE@cunb.edu","812",8,"C","Much","Somewhat","Very much","Neutral","Strongly agree","Strongly disagree","Strongly agree","Enroll in a technical institute",1
"D4sjT@cunb.edu","458",6,"B","Slightly","Very much","Somewhat","Agree","Agree","Strongly agree","Agree","Enroll in a  professional/vocational institute",1
"d56on@cunb.edu","499",6,"B","Somewhat","Very much","Somewhat","Strongly agree","Agree","Strongly agree","Strongly disagree","Enroll in a technical institute",1
"D6TlX@cunb.edu","812",7,"B","Very much","Slightly","Somewhat","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Enroll in an university",1
"d6XgF@cunb.edu","458",6,"C","Very much","Much","Somewhat","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Enroll in a  professional/vocational institute",1
"DaK3R@cunb.edu","881",7,"B","Not at all","Not at all","Very much","Strongly disagree","Neutral","Strongly disagree","Neutral","I don't know",1
"dANuE@cunb.edu","881",6,"A","Not at all","Very much","Slightly","Strongly agree","Disagree","Agree","Strongly disagree","Enroll in high school",1
"DB0Rt@cunb.edu","141",6,"B","Slightly","Very much","Somewhat","Strongly disagree","Agree","Disagree","Strongly agree","Enroll in a  professional/vocational institute",1
"dHPfh@cunb.edu","946",8,"B","Very much","Slightly","Slightly","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Enroll in an university",1
"DMV6n@cunb.edu","057",8,"A","Much","Somewhat","Not at all","Disagree","Disagree","Agree","Strongly disagree","Work after finishing school",1
"dnsdL@cunb.edu","141",7,"B","Very much","Somewhat","Not at all","Neutral","Strongly agree","Strongly disagree","Agree","Work after finishing school",1
"dolJ9@cunb.edu","060",6,"D","Slightly","Much","Slightly","Neutral","Neutral","Agree","Neutral","I don't know",1
"DQAfH@cunb.edu","881",8,"C","Very much","Slightly","Somewhat","Disagree","Disagree","Disagree","Strongly agree","Enroll in a technical institute",1
"DrqoA@cunb.edu","060",7,"A","Not at all","Slightly","Much","Agree","Strongly disagree","Neutral","Disagree","Work after finishing school",1
"DrqoA@cunb.edu","060",7,"A","Not at all","Slightly","Much","Agree","Strongly disagree","Neutral","Disagree","Work after finishing school",1
"dukzc@cunb.edu","426",6,"A","Not at all","Slightly","Somewhat","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Work after finishing school",1
"e1ITV@cunb.edu","426",8,"D","Somewhat","Much","Somewhat","Disagree","Agree","Agree","Agree","Enroll in high school",1
"e51qc@cunb.edu","060",7,"C","Not at all","Somewhat","Much","Strongly agree","Disagree","Neutral","Neutral","Enroll in a  professional/vocational institute",1
"E66Bf@cunb.edu","499",6,"B","Much","Slightly","Somewhat","Agree","Agree","Agree","Disagree","Enroll in high school",1
"E7TcP@cunb.edu","141",6,"C","Somewhat","Slightly","Very much","Strongly agree","Strongly disagree","Agree","Strongly disagree","Enroll in high school",1
"e8WMe@cunb.edu","426",8,"D","Not at all","Slightly","Very much","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Enroll in a technical institute",1
"e9WHZ@cunb.edu","499",8,"A","Not at all","Much","Slightly","Strongly disagree","Strongly disagree","Agree","Disagree","Enroll in high school",1
"ecaZb@cunb.edu","946",6,"D","Somewhat","Not at all","Very much","Strongly agree","Disagree","Agree","Disagree","Work after finishing school",1
"EiG5l@cunb.edu","262",8,"A","Very much","Much","Slightly","Strongly agree","Strongly agree","Neutral","Neutral","Enroll in a  professional/vocational institute",1
"eN9cA@cunb.edu","812",6,"B","Much","Somewhat","Slightly","Disagree","Disagree","Strongly disagree","Strongly disagree","Work after finishing school",1
"esGcw@cunb.edu","262",8,"A","Somewhat","Somewhat","Very much","Neutral","Disagree","Strongly agree","Agree","I don't know",1
"EudEF@cunb.edu","499",6,"D","Very much","Very much","Much","Disagree","Strongly agree","Neutral","Disagree","Enroll in high school",1
"ex2CW@cunb.edu","141",6,"A","Somewhat","Much","Much","Agree","Agree","Strongly agree","Neutral","Enroll in high school",1
"ey37T@cunb.edu","426",8,"C","Slightly","Not at all","Somewhat","Agree","Neutral","Strongly disagree","Agree","Enroll in a  professional/vocational institute",1
"eZkWy@cunb.edu","458",6,"B","Not at all","Very much","Somewhat","Strongly agree","Disagree","Agree","Neutral","Enroll in a technical institute",1
"f5OSr@cunb.edu","946",8,"C","Much","Not at all","Not at all","Neutral","Agree","Strongly agree","Strongly agree","Enroll in high school",1
"f5SBh@cunb.edu","458",7,"B","Slightly","Much","Not at all","Strongly disagree","Strongly agree","Neutral","Disagree","I don't know",1
"Fc77Q@cunb.edu","881",7,"D","Very much","Not at all","Somewhat","Agree","Strongly agree","Agree","Disagree","I don't know",1
"fcrC7@cunb.edu","141",6,"D","Very much","Not at all","Very much","Agree","Strongly disagree","Agree","Agree","Enroll in a technical institute",1
"Fdki3@cunb.edu","881",7,"B","Somewhat","Somewhat","Slightly","Strongly disagree","Strongly disagree","Agree","Disagree","Enroll in an university",1
"Fgs6Y@cunb.edu","812",7,"D","Not at all","Somewhat","Somewhat","Strongly agree","Strongly disagree","Disagree","Neutral","Enroll in a  professional/vocational institute",1
"Fi55Q@cunb.edu","060",6,"D","Slightly","Very much","Not at all","Strongly disagree","Disagree","Strongly disagree","Disagree","Enroll in an university",1
"fmwmr@cunb.edu","946",8,"B","Somewhat","Somewhat","Slightly","Strongly agree","Agree","Disagree","Neutral","I don't know",1
"fOSeT@cunb.edu","426",7,"B","Slightly","Very much","Somewhat","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Enroll in high school",1
"fRGam@cunb.edu","141",6,"B","Slightly","Slightly","Somewhat","Agree","Strongly disagree","Disagree","Strongly disagree","Enroll in high school",1
"frYNV@cunb.edu","499",6,"D","Slightly","Somewhat","Not at all","Neutral","Disagree","Neutral","Disagree","Enroll in an university",1
"frYNV@cunb.edu","499",6,"D",NA,NA,NA,NA,NA,NA,NA,NA,0
"fv38h@cunb.edu","881",7,"D","Much","Not at all","Much","Disagree","Strongly disagree","Disagree","Strongly disagree","Enroll in high school",1
"FV6kq@cunb.edu","060",8,"D","Very much","Much","Much","Neutral","Neutral","Neutral","Agree","Work after finishing school",1
"fVN96@cunb.edu","946",8,"B","Slightly","Very much","Not at all","Neutral","Neutral","Disagree","Neutral","Enroll in a technical institute",1
"fwJQ9@cunb.edu","426",6,"D","Slightly","Much","Very much","Neutral","Neutral","Strongly agree","Disagree","Enroll in high school",1
"fYyPD@cunb.edu","881",6,"C","Slightly","Somewhat","Not at all","Strongly disagree","Strongly agree","Disagree","Strongly agree","Work after finishing school",1
"g2U7j@cunb.edu","060",8,"D","Much","Slightly","Slightly","Strongly agree","Disagree","Agree","Neutral","Work after finishing school",1
"g4rHV@cunb.edu","060",6,"B","Slightly","Slightly","Slightly","Disagree","Strongly disagree","Strongly disagree","Agree","Enroll in a  professional/vocational institute",1
"g5XPk@cunb.edu","141",8,"C","Very much","Slightly","Not at all","Strongly disagree","Agree","Neutral","Agree","I don't know",1
"gaQrq@cunb.edu","057",7,"B","Somewhat","Very much","Very much","Neutral","Neutral","Strongly agree","Agree","Enroll in high school",1
"GbM6A@cunb.edu","426",8,"A","Much","Not at all","Slightly","Strongly disagree","Strongly agree","Disagree","Strongly disagree","I don't know",1
"gca3X@cunb.edu","057",6,"B","Somewhat","Somewhat","Slightly","Agree","Strongly agree","Neutral","Agree","Enroll in an university",1
"gGMMR@cunb.edu","881",8,"A","Somewhat","Slightly","Somewhat","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Enroll in a technical institute",1
"gGWnO@cunb.edu","426",6,"D","Somewhat","Slightly","Slightly","Neutral","Agree","Neutral","Disagree","Work after finishing school",1
"gjkJn@cunb.edu","060",6,"A","Much","Much","Slightly","Neutral","Agree","Strongly agree","Strongly agree","Enroll in a technical institute",1
"GL4yM@cunb.edu","458",6,"A","Very much","Not at all","Not at all","Disagree","Neutral","Disagree","Strongly disagree","Work after finishing school",1
"glfmD@cunb.edu","881",6,"A","Somewhat","Much","Slightly","Strongly agree","Neutral","Strongly disagree","Strongly disagree","Work after finishing school",1
"gNbee@cunb.edu","881",7,"B","Not at all","Not at all","Very much","Strongly agree","Agree","Strongly agree","Neutral","Enroll in a technical institute",1
"gOXvv@cunb.edu","262",6,"D","Slightly","Very much","Not at all","Strongly disagree","Neutral","Strongly agree","Strongly agree","Enroll in a  professional/vocational institute",1
"gRRyf@cunb.edu","812",8,"A","Somewhat","Very much","Not at all","Disagree","Agree","Disagree","Disagree","Work after finishing school",1
"gWPmX@cunb.edu","812",7,"A","Somewhat","Much","Not at all","Disagree","Disagree","Strongly disagree","Agree","I don't know",1
"GXqOg@cunb.edu","426",8,"B","Very much","Not at all","Not at all","Strongly agree","Neutral","Strongly disagree","Strongly disagree","Enroll in high school",1
"gXqwN@cunb.edu","881",6,"B","Slightly","Somewhat","Much","Disagree","Disagree","Strongly agree","Strongly agree","Enroll in an university",1
"gYcoh@cunb.edu","458",8,"A","Much","Much","Somewhat","Disagree","Disagree","Neutral","Strongly agree","Enroll in high school",1
"H1zTX@cunb.edu","057",6,"C","Very much","Slightly","Much","Disagree","Disagree","Strongly disagree","Neutral","Enroll in a technical institute",1
"HADi3@cunb.edu","499",8,"B","Very much","Somewhat","Not at all","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Enroll in a  professional/vocational institute",1
"hAhcJ@cunb.edu","057",8,"B","Somewhat","Slightly","Very much","Neutral","Strongly disagree","Neutral","Disagree","I don't know",1
"hCPSL@cunb.edu","881",8,"B","Somewhat","Very much","Very much","Strongly disagree","Agree","Neutral","Neutral","Enroll in a technical institute",1
"hcWWl@cunb.edu","141",8,"D","Slightly","Not at all","Somewhat","Strongly agree","Strongly disagree","Agree","Agree","I don't know",1
"HCXlh@cunb.edu","499",8,"D","Very much","Much","Slightly","Strongly agree","Agree","Disagree","Agree","I don't know",1
"herUm@cunb.edu","812",7,"C","Not at all","Very much","Not at all","Agree","Strongly agree","Neutral","Disagree","Work after finishing school",1
"hHJJh@cunb.edu","141",6,"B","Not at all","Slightly","Not at all","Neutral","Disagree","Strongly disagree","Neutral","Enroll in a technical institute",1
"hJn3w@cunb.edu","946",6,"D","Much","Slightly","Slightly","Strongly disagree","Strongly agree","Strongly disagree","Agree","Enroll in an university",1
"HjVoS@cunb.edu","141",8,"C","Not at all","Slightly","Somewhat","Neutral","Strongly disagree","Disagree","Strongly disagree","I don't know",1
"Hkj9c@cunb.edu","060",8,"B","Not at all","Slightly","Slightly","Neutral","Neutral","Agree","Agree","Enroll in high school",1
"hLExY@cunb.edu","458",8,"C","Not at all","Very much","Very much","Strongly agree","Agree","Strongly agree","Agree","Enroll in a  professional/vocational institute",1
"Hm4nP@cunb.edu","881",7,"A","Slightly","Somewhat","Very much","Disagree","Neutral","Neutral","Neutral","I don't know",1
"hnuCX@cunb.edu","262",7,"C","Not at all","Slightly","Much","Neutral","Disagree","Strongly agree","Disagree","Enroll in a  professional/vocational institute",1
"hoBy6@cunb.edu","458",7,"A","Slightly","Not at all","Very much","Disagree","Strongly disagree","Strongly disagree","Neutral","Enroll in an university",1
"hSCcR@cunb.edu","881",7,"C","Much","Not at all","Not at all","Agree","Neutral","Agree","Strongly disagree","I don't know",1
"HvBXX@cunb.edu","060",7,"C","Much","Slightly","Very much","Agree","Agree","Strongly agree","Disagree","Enroll in a technical institute",1
